Rezultatai
Aptvarkyta 100 duomenu
----------------------------------------------------------------------------------------------------------------------------------
| Make                                | Model                               | Year  | Plate  | Powerkw    | Result               | 
|                             Pontiac |                          Grand Prix |  2000 | 515JOR |        774 |          PoGr0051774 |
|                             Pontiac |                          Bonneville |  1999 | 258XMH |        335 |          PoBo9925335 |
|                             Pontiac |                              Gemini |  2009 | 728VUJ |        345 |          PoGe0972345 |
|                             Pontiac |                            Grand Am |  2017 | 743YYP |        234 |          PoGr1774234 |
|                             Pontiac |                          Grand Prix |  2019 | 577DJL |        324 |          PoGr1957324 |
|                             Porsche |                                 928 |  2000 | 072CTP |        593 |          Po920007593 |
|                             Porsche |                                 968 |  1998 | 366TCD |        502 |          Po969836502 |
|                             Porsche |                                 911 |  2001 | 374KUW |        225 |          Po910137225 |
|                                 Ram |                                2500 |  2007 | 131GHD |         67 |           Ra25071367 |
|                                Saab |                                9000 |  2022 | 395TNX |        309 |          Sa902239309 |
|                              Saturn |                                 Sky |  2008 | 496XRL |        703 |          SaSk0849703 |
|                                Seat |                                Leon |  2009 | MDY048 |        125 |          SeLe09MD125 |
|                              Subaru |                               Justy |  2012 | 396DXW |        389 |          SuJu1239389 |
|                              Subaru |                             Impreza |  2007 | 983MPH |        106 |          SuIm0798106 |
|                              Subaru |                             Impreza |  2019 | 715VFX |        166 |          SuIm1971166 |
|                              Suzuki |                      Daewoo Lacetti |  2021 | 617MVX |        665 |          SuDa2161665 |
|                              Toyota |                        Land Cruiser |  1999 | 337GGY |        581 |          ToLa9933581 |
|                              Toyota |                             Sequoia |  2017 | 725QAY |        887 |          ToSe1772887 |
|                              Toyota |                          FJ Cruiser |  2019 | 638DZR |        917 |          ToFJ1963917 |
|                              Toyota |                              Tundra |  1996 | 691BUT |        546 |          ToTu9669546 |
|                              Toyota |                               Prius |  2009 | 509BIQ |        236 |          ToPr0950236 |
|                              Toyota |                              Previa |  2016 | 425ZDI |        731 |          ToPr1642731 |
|                          Volkswagen |                          New Beetle |  2001 | 430CAO |        856 |          VoNe0143856 |
|                          Volkswagen |                              Passat |  2014 | 400PFX |        986 |          VoPa1440986 |
|                          Volkswagen |                                 GTI |  2002 | 448KYM |         91 |           VoGT024491 |
|                          Volkswagen |                             Eurovan |  2003 | 811EYI |        394 |          VoEu0381394 |
|                               Volvo |                                 940 |  2018 | 289FFK |        494 |          Vo941828494 |
|                               Volvo |                                 S60 |  2011 | 440OCA |        274 |          VoS61144274 |
----------------------------------------------------------------------------------------------------------------------------------
Sum of Years: 200838
Sum of Power: 42874
