artistName,averageUserRating,averageUserRatingForCurrentVersion,contentAdvisoryRating,fileSizeBytes,isGameCenterEnabled,minimumOsVersion,price,primaryGenreId,releaseDate,trackName,userRatingCount,,
Magmatic Games Ltd,4.81898,4.81898,4+,241860608,TRUE,12,0,6014,2021-02-12T08:00:00Z,Travel Town - Merge Adventure,51508,,
"Supercent, Inc.",4.61359,4.61359,4+,415812608,FALSE,12.5,0,6014,2023-06-22T07:00:00Z,Outlets Rush,61403,,
Voodoo,4.47377,4.47377,12+,207881216,FALSE,13,0,6014,2018-08-09T02:50:42Z,Paper.io 2,1761109,,
Century Games Pte. Ltd.,4.69956,4.69956,4+,628882432,TRUE,12,0,6014,2023-02-12T08:00:00Z,Whiteout Survival,110229,,
Kooapps,4.62547,4.62547,4+,182759424,TRUE,10,0,6014,2016-04-21T17:58:47Z,Snake.io - Fun Online Snake,267587,,
Fomo Games,4.72434,4.72434,12+,342450176,FALSE,11,0,6014,2023-07-27T07:00:00Z,Traffic Escape!,99967,,
PlaySimple Games Pte Ltd,4.96169,4.96169,4+,164783104,FALSE,12,0,6014,2023-02-11T08:00:00Z,Word Search Explorer: Fun Game,177879,,
"Netflix, Inc.",3.76367,3.76367,17+,2862911488,FALSE,16,0,6014,2023-12-14T08:00:00Z,GTA: San Andreas – NETFLIX,3237,,
UNICO STUDIO,4.79225,4.79225,12+,230806528,FALSE,12.5,0,6014,2019-11-12T08:00:00Z,Brain Test: Tricky Puzzles,1038042,,
Mattel163 Limited,4.687,4.687,4+,518928384,FALSE,12,0,6014,2018-11-15T17:29:23Z,UNO!™,514161,,
Electronic Arts,4.71223,4.71223,4+,184341504,FALSE,12.2,0,6014,2020-08-04T07:00:00Z,Madden NFL 24 Mobile Football,864324,,
Lazycell Inc.,4.22091,4.22091,4+,64221184,TRUE,11,0,6014,2021-05-10T07:00:00Z,I Want Watermelon,1530,,
Supercell,4.59142,4.59142,9+,489152512,TRUE,11,0,6014,2016-03-02T07:25:45Z,Clash Royale,2617489,,
Aviagames Inc.,4.82758,4.82758,17+,539717632,FALSE,12,0,6014,2021-10-19T07:00:00Z,Solitaire Clash: Win Real Cash,172332,,
Moon Active,4.73407,4.73407,17+,257820672,FALSE,11,0,6014,2010-12-11T19:19:07Z,Coin Master,854626,,
Playrix,4.63443,4.63443,4+,249071616,TRUE,11,0,6014,2015-12-10T03:20:41Z,Fishdom,978446,,
KidultLovin,4.80789,4.80789,4+,108186624,FALSE,12,0,6014,2021-03-26T07:00:00Z,Zen Color - Color By Number,132754,,
SUPERSONIC STUDIOS LTD,4.57266,4.57266,9+,266730496,FALSE,12,0,6014,2022-12-28T08:00:00Z,Build A Queen,63480,,
Chess.com,4.81053,4.81053,4+,291854336,FALSE,15,0,6014,2009-10-29T03:18:55Z,Chess - Play & Learn,435366,,
Guru Smart Holding Limited,4.94055,4.94055,4+,194808832,FALSE,13,0,6014,2023-06-06T07:00:00Z,Math Puzzle Games - Cross Math,94585,,
KINGS FORTUNE PTE.LTD.,4.64259,4.64259,4+,561988608,FALSE,12.5,0,6014,2023-01-14T08:00:00Z,Happy Match Cafe,55600,,
TOP GAMES INC.,3.96525,3.96525,12+,928961536,TRUE,9,0,6014,2016-04-27T02:06:23Z,Evony,118950,,
SuperPlay,4.85815,4.85815,4+,323679232,FALSE,12,0,6014,2020-02-05T08:00:00Z,Dice Dreams™,276991,,
Supercell,4.75917,4.75917,9+,299041792,TRUE,11,0,6014,2012-08-02T08:24:58Z,Clash of Clans,2441829,,
HOMA GAMES,4.61942,4.61942,12+,226809856,FALSE,13,0,6014,2023-05-19T07:00:00Z,Weapon Master: Gun Shooter Run,4769,,
2K,4.75007,4.75007,4+,3286889472,TRUE,14,0,6014,2024-01-30T08:00:00Z,NBA 2K24 MyTEAM,13528,,
Papaya Gaming,4.60229,4.60229,17+,316730368,FALSE,12.2,0,6014,2018-12-29T04:56:52Z,Solitaire Cash,301907,,
Zephyrmobile,4.82902,4.82902,4+,418711552,FALSE,13,0,6014,2021-09-08T07:00:00Z,Water Sort Puzzle: Get Color,45835,,
"Candywriter, LLC",4.77113,4.77113,17+,330833920,FALSE,12.5,0,6014,2018-09-30T04:46:01Z,BitLife - Life Simulator,1611739,,
Lion Studios Plus,4.57732,4.57732,17+,253479936,FALSE,12.5,0,6014,2016-04-24T20:08:01Z,Wordle!,697402,,
Moreno Maio,4.81981,4.81981,4+,129812480,FALSE,12,0,6014,2019-05-31T00:26:06Z,2 Player Games : the Challenge,68794,,
HABBY,4.76492,4.76492,4+,543389696,TRUE,11,0,6014,2020-12-16T08:00:00Z,Survivor!.io,194507,,
Microfun Limited,4.77737,4.77737,12+,789005312,FALSE,11,0,6014,2022-07-07T07:00:00Z,Gossip Harbor®: Merge & Story,35247,,
Aviagames Inc.,4.85315,4.85315,17+,555723776,FALSE,12,0,6014,2021-11-22T08:00:00Z,Bingo Tour: Win Real Cash,162719,,
Imran Ramzan,2.61111,2.61111,12+,700115968,FALSE,14,0,6014,2024-02-15T08:00:00Z,Scary Lethal House Survival,198,,
"Playtika Santa Monica, LLC",4.69689,4.69689,17+,249054208,FALSE,9,0,6014,2012-08-09T04:32:19Z,Bingo Blitz™ - BINGO Games,365367,,
Pixelvoid Games Ltd,4.31433,4.31433,4+,149951488,FALSE,12,0,6014,2022-07-19T07:00:00Z,Skins Clothes Maker for Roblox,14192,,
Makeup Games for FUN,4.82196,4.82196,12+,416718848,FALSE,11,0,6014,2023-10-08T07:00:00Z,Makeup ASMR: Makeover Story,25590,,
Super Lucky Games LLC,4.92061,4.92061,4+,328941568,FALSE,12.5,0,6014,2020-06-19T07:00:00Z,Trivia Star: Trivia Games Quiz,277520,,
New Star Games,4.81844,4.81844,4+,35930112,FALSE,9,0,6014,2020-01-17T08:00:00Z,Retro Bowl,905612,,
Doodle Mobile Limited,4.7031,4.7031,4+,90901504,FALSE,10,0,6014,2020-06-17T07:00:00Z,Block Puzzle - Brain Test Game,693118,,
Playgendary Limited,4.54553,4.54553,12+,523812864,TRUE,12,0,6014,2016-08-17T20:18:21Z,Bowmasters - Multiplayer Game,1910513,,
Electronic Arts,4.66843,4.66843,4+,535313408,TRUE,12.2,0,6014,2016-10-11T08:25:15Z,EA SPORTS FC™ Mobile Soccer,1444529,,
SUPERSONIC STUDIOS LTD,4.07367,4.07367,12+,461287424,FALSE,12.5,0,6014,2022-12-19T08:00:00Z,Camo Sniper,2484,,
Moreno Maio,4.89958,4.89958,4+,131938304,FALSE,12,0,6014,2023-08-08T07:00:00Z,Offline Games - No Wifi Games,16192,,
Rollic Games,4.62784,4.62784,12+,233336832,FALSE,12,0,6014,2023-06-26T07:00:00Z,Bus Jam,21908,,
Rovio Entertainment Oyj,4.62858,4.62858,4+,321403904,TRUE,13,0,6014,2015-07-30T06:29:53Z,Angry Birds 2,1302970,,
"Magic Tavern, Inc.",4.45695,4.45695,12+,440366080,FALSE,12,0,6014,2020-11-15T08:00:00Z,Project Makeover,686534,,
FUNLINKING PTE.LTD.,2.70769,2.70769,9+,1555675136,FALSE,10,0,6014,2022-08-24T07:00:00Z,Build Master: Bridge Race,2186,,
"Niantic, Inc.",3.99332,3.99332,9+,357706752,FALSE,14,0,6014,2016-07-07T00:39:49Z,Pokémon GO,536735,,
Rollic Games,4.57608,4.57608,12+,293711872,FALSE,12,0,6014,2022-02-06T08:00:00Z,Fill The Fridge!,269565,,
Voodoo,4.6054,4.6054,12+,293918720,FALSE,13,0,6014,2018-06-24T04:28:15Z,Hole.io,1959459,,
Guru Smart Holding Limited,4.79715,4.79715,4+,337958912,FALSE,13,0,6014,2022-07-16T07:00:00Z,Ball Sort Puzzle - Color Game,63243,,
HIPSTER WHALE,4.66423,4.66423,9+,196802560,TRUE,13,0,6014,2014-11-20T08:00:00Z,Crossy Road,626446,,
Super Lucky Games LLC,4.90484,4.90484,4+,238076928,FALSE,12.5,0,6014,2017-12-06T21:21:59Z,Word Collect Word Puzzle Games,534320,,
Matchingham Games,4.66204,4.66204,12+,329528320,FALSE,12.5,0,6014,2020-05-19T07:00:00Z,Braindom: Brain Games Test Out,114972,,
"HIGGS TECHNOLOGY CO., LIMITED",4.44742,4.44742,12+,475304960,FALSE,12,0,6014,2021-07-30T07:00:00Z,Match Triple Goods : Sort Game,5344,,
Amanotes Pte. Ltd.,4.32845,4.32845,9+,263249920,FALSE,12.5,0,6014,2018-03-06T05:56:58Z,Tiles Hop EDM Rush Music Ball,186718,,
Topwar Studio,4.26334,4.26334,12+,2228046848,TRUE,12,0,6014,2019-12-31T08:00:00Z,Top War: Battle Game,110170,,
Burny Games,4.43599,4.43599,17+,272027648,FALSE,13,0,6014,2022-10-29T07:00:00Z,Playdoku: Block Puzzle Game,36611,,
Team Simple,4.62223,4.62223,12+,847183872,TRUE,12,0,6014,2023-03-09T08:00:00Z,Hunting Sniper,17368,,
Tripledot Studios,4.67685,4.67685,12+,197492736,FALSE,13,0,6014,2017-12-11T22:13:48Z,Solitaire: Play Classic Cards,573413,,
Pazu Games Ltd,4.73045,4.73045,4+,402332672,FALSE,12,0,6014,2022-12-09T08:00:00Z,Avatar World: City Life,162743,,
Zynga Inc.,4.60641,4.60641,4+,237321216,FALSE,13,0,6014,2017-11-07T21:42:27Z,Words With Friends 2 Word Game,674434,,
Evo Games Studio,4.44158,4.44158,12+,275757056,FALSE,12,0,6014,2024-01-30T08:00:00Z,Animal Hunter: Wild Shooting,1789,,
Microfun Limited,4.68044,4.68044,4+,656355328,FALSE,11,0,6014,2022-11-24T08:00:00Z,Seaside Escape: Merge & Story,6149,,
Tehseen Raza,3.43905,3.43905,12+,354519040,FALSE,11,0,6014,2024-01-26T08:00:00Z,Buckshot Roulette Survival,5332,,
Etermax,4.59718,4.59718,4+,617735168,FALSE,15,0,6014,2013-10-26T22:12:29Z,Trivia Crack,720952,,
Kiwi Fun HK Limited,4.94611,4.94611,4+,247194624,TRUE,13,0,6014,2022-01-09T08:00:00Z,Ten Crush,41835,,
"Supercent, Inc.",4.60871,4.60871,4+,328422400,FALSE,12.5,0,6014,2023-03-11T08:00:00Z,Super Slime - Black Hole Game,9282,,
PARADYME LIMITED,4.8125,4.8125,9+,450279424,TRUE,12,0,6014,2020-01-22T08:00:00Z,Solar Smash,246720,,
VIZOR APPS LTD,4.69029,4.69029,9+,306455552,TRUE,12,0,6014,2018-04-04T06:38:07Z,Klondike Adventures: Farm Game,112097,,
IEC GLOBAL PTY LTD,4.72335,4.72335,12+,547820544,TRUE,12.5,0,6014,2020-06-26T07:00:00Z,Water Sort Puzzle,323728,,
Playgendary Limited,4.69306,4.69306,4+,221519872,TRUE,11,0,6014,2016-02-09T21:11:59Z,Tomb of the Mask,1308126,,
Scorewarrior,4.55456,4.55456,9+,253380608,TRUE,12,0,6014,2018-10-20T15:45:58Z,Total Battle: Strategy Game,15369,,
Big Duck Games LLC,4.7789,4.7789,4+,50221056,TRUE,12,0,6014,2012-06-07T00:44:26Z,Flow Free,286491,,
Geisha Tokyo Inc.,4.59954,4.59954,9+,396291072,FALSE,13,0,6014,2018-09-01T03:00:15Z,Traffic Run!,376281,,
Crazy Labs,4.81702,4.81702,12+,231618560,FALSE,12,0,6014,2022-10-07T07:00:00Z,Alien Invasion: RPG Idle Space,67259,,
Playgendary Limited,4.59928,4.59928,12+,244557824,TRUE,9,0,6014,2017-11-02T10:05:05Z,Kick the Buddy,1009591,,
Supercell,4.68978,4.68978,4+,209844224,TRUE,11,0,6014,2012-06-21T08:10:22Z,Hay Day,543626,,
Zynga Inc.,4.70767,4.70767,4+,3270936576,TRUE,13,0,6014,2016-06-29T15:33:50Z,CSR 2 - Realistic Drag Racing,796931,,
Rollic Games,4.71734,4.71734,12+,347273216,FALSE,12,0,6014,2023-05-24T07:00:00Z,Power Slap,23077,,
"Imangi Studios, LLC",4.41572,4.41572,9+,180269056,TRUE,11,0,6014,2011-08-04T07:00:00Z,Temple Run,349877,,
"Scopely, Inc.",4.32965,4.32965,9+,557822976,FALSE,13,0,6014,2021-02-12T08:00:00Z,Stumble Guys,315333,,
Team Terrible,4.31461,4.31461,9+,538878976,TRUE,12,0,6014,2021-06-17T07:00:00Z,The Baby In Yellow,25079,,
MobilityWare,4.73008,4.73008,12+,295920640,FALSE,12,0,6014,2010-03-18T21:33:47Z,Solitaire,1762877,,
Nexters Global LTD,4.49566,4.49566,12+,246690816,TRUE,12,0,6014,2016-12-23T08:16:17Z,Hero Wars: Alliance,174402,,
New Star Games,4.28845,4.28845,12+,35958784,FALSE,9,0,6014,2023-09-18T07:00:00Z,Retro Bowl College,5585,,
Nguyen Thi Thu Huyen,4.79574,4.79574,4+,200284160,FALSE,12,0,6014,2022-08-30T07:00:00Z,Tic Tac Toe: 2 Player XO,43044,,
Episode Interactive,4.65993,4.65993,12+,352026624,FALSE,15,0,6014,2013-12-18T22:00:20Z,Episode - Choose Your Story,2664118,,
Tilting Point LLC,4.67462,4.67462,4+,474540032,TRUE,13,0,6014,2023-09-26T07:00:00Z,SpongeBob Adventures: In A Jam,12893,,
Supertreat,4.78691,4.78691,12+,266551296,TRUE,13,0,6014,2017-06-21T16:13:48Z,Solitaire Grand Harvest,248869,,
"Nintendo Co., Ltd.",4.70505,4.70505,4+,242188288,TRUE,12,0,6014,2019-09-25T07:00:00Z,Mario Kart Tour,1004074,,
Tripledot Studios,4.66076,4.66076,17+,231710720,FALSE,13,0,6014,2019-08-30T07:00:00Z,Blackjack,210747,,
Han Song Ey Jo,4.73958,4.73958,4+,114019328,TRUE,12,0,6014,2023-10-17T07:00:00Z,QSWatermelon : Monkey Land,10222,,
Tripledot Studios,4.86158,4.86158,12+,317377536,FALSE,13,0,6014,2021-08-20T07:00:00Z,Triple Tile: Match Puzzle Game,169526,,
Nordcurrent UAB,4.47115,4.47115,4+,220188672,TRUE,11,0,6014,2014-08-19T16:50:31Z,Cooking Fever: Restaurant Game,251975,,
Freeplay LLC,4.4779,4.4779,12+,196730880,FALSE,12,0,6014,2021-05-19T07:00:00Z,Count Masters: Crowd Runner 3D,466489,,
Kwalee Ltd,4.61958,4.61958,12+,184482816,FALSE,11,0,6014,2020-07-17T07:00:00Z,Teacher Simulator,421057,,
Fugo,4.89222,4.89222,4+,475240448,FALSE,13,0,6014,2018-04-10T23:30:12Z,Words of Wonders: Crossword,565156,,
PopCap,4.70303,4.70303,9+,176590848,TRUE,11,0,6014,2013-08-15T01:31:42Z,Plants vs. Zombies™ 2,421237,,
Playflux,4.74244,4.74244,4+,284224512,FALSE,12.5,0,6014,2022-11-11T08:00:00Z,Tile Family: Match Puzzle Game,77645,,
Outfit7 Limited,4.45247,4.45247,4+,257894400,TRUE,12,0,6014,2018-11-06T20:21:22Z,My Talking Tom 2,667172,,
"Nintendo Co., Ltd.",3.73809,3.73809,4+,253405184,TRUE,12,0,6014,2016-09-07T16:36:57Z,Super Mario Run,69441,,
"Netflix, Inc.",4.2069,4.2069,9+,2040265728,FALSE,15,0,6014,2024-02-13T08:00:00Z,Pinball Masters NETFLIX,29,,
Wildlife Inc,4.74935,4.74935,17+,351251456,TRUE,12,0,6014,2014-11-10T08:00:00Z,Sniper 3D: Gun Shooting Games,2952602,,
SayGames LTD,4.59869,4.59869,12+,306223104,FALSE,12,0,6014,2021-08-01T07:00:00Z,Race Master 3D - Car Racing,314968,,
Voodoo,4.50582,4.50582,12+,286328832,FALSE,13,0,6014,2021-04-13T07:00:00Z,Mob Control,230520,,
Innplay Labs,4.85804,4.85804,17+,251598848,FALSE,13,0,6014,2019-12-27T08:00:00Z,Animals & Coins Adventure Game,57657,,
"REMEMBERS INFORMATION TECHNOLOGY CO., LTD.",4.65578,4.65578,12+,174603264,FALSE,11,0,6014,2022-04-19T07:00:00Z,Makeup Stylist -DIY Salon game,61356,,
Melsoft,4.76051,4.76051,12+,644431872,TRUE,11,0,6014,2019-11-18T08:00:00Z,Family Island — Farming game,354203,,
Real Free Soccer,4.59312,4.59312,4+,324914176,FALSE,12,0,6014,2021-03-25T07:00:00Z,Soccer Super Star,76990,,
"Crunchyroll Games, LLC",4.35046,4.35046,12+,3829879808,FALSE,12,0,6014,2024-01-31T08:00:00Z,One Punch Man World,4671,,
Kwalee Ltd,4.62988,4.62988,12+,276277248,FALSE,11,0,6014,2021-10-28T07:00:00Z,Airport Security: Fly Safe,221696,,
TWILIGHT GIFT STUDIO,4.34686,4.34686,17+,145001472,FALSE,11,0,6014,2023-08-29T07:00:00Z,Acorn Casino - Slots,10621,,
Popcore GmbH,4.37599,4.37599,12+,347734016,FALSE,12.5,0,6014,2022-03-18T07:00:00Z,Scavenger Hunt!,156126,,
Aytac Kahveci,0,0,9+,95367168,FALSE,12,0,6014,2024-02-24T08:00:00Z,Lethal Company,0,,
2K,4.76158,4.76158,4+,2463332352,TRUE,12,0,6014,2018-11-19T18:30:38Z,NBA 2K Mobile Basketball Game,1372921,,
TAPBLAZE,4.71627,4.71627,4+,287987712,TRUE,13,0,6014,2014-12-02T12:10:01Z,"Good Pizza, Great Pizza",188893,,
Topsmart Mobile Ltd.,4.83263,4.83263,4+,204679168,FALSE,14,0,6014,2023-06-20T07:00:00Z,Color Blast:Block Puzzle,1446,,
Loc Nguyen Duc,4.7569,4.7569,4+,259974144,FALSE,13,0,6014,2023-10-05T07:00:00Z,Screw Puzzle,21378,,
COGNOSPHERE PTE. LTD.,4.35084,4.35084,12+,3107722240,TRUE,11,0,6014,2020-09-26T07:00:00Z,Genshin Impact - Lantern Rite,503487,,
"FanDuel, Inc.",4.77806,4.77806,17+,145072128,FALSE,14,0,6014,2020-06-23T07:00:00Z,FanDuel Casino - Real Money,73536,,
Clap Palms,4.85724,4.85724,12+,229565440,FALSE,11,0,6014,2022-12-13T08:00:00Z,Goods Sort - Goods Triple 3D,31488,,
Space Ape Ltd,4.74526,4.74526,9+,403902464,FALSE,13,0,6014,2023-06-27T07:00:00Z,Chrome Valley Customs,74920,,
TAP4FUN (HONGKONG) LIMITED,4.74678,4.74678,12+,1130496000,FALSE,12,0,6014,2020-09-29T07:00:00Z,Age of Apes,104102,,
Papaya Gaming,4.66205,4.66205,17+,349632512,FALSE,14,0,6014,2021-06-01T07:00:00Z,Bingo Cash,125054,,
Easybrain,4.75622,4.75622,4+,163332096,FALSE,14,0,6014,2017-03-30T09:32:35Z,Sudoku.com - Number Games,1608726,,
Hang Nguyen Minh,4.52186,4.52186,17+,640858112,FALSE,11,0,6014,2022-04-09T07:00:00Z,Bird Sort Color Puzzle Game,2585,,
JustPlay.LOL LTD,4.71297,4.71297,12+,1218766848,FALSE,12,0,6014,2020-05-06T07:00:00Z,1v1.LOL - Battle Royale Game,283538,,
Crazy Labs,4.6615,4.6615,12+,138351616,TRUE,12,0,6014,2019-02-16T19:58:06Z,AMAZE!!!,1184691,,
KONAMI,4.32193,4.32193,4+,2892450816,TRUE,13,0,6014,2017-05-24T03:14:53Z,eFootball™ 2024,286583,,
Fanatee,4.72481,4.72481,4+,229383168,FALSE,12,0,6014,2022-01-19T08:00:00Z,Everyday Puzzles: Mini Games,2402,,
Gameloft,4.564,4.564,9+,473694208,TRUE,11,0,6014,2013-06-13T07:00:00Z,Minion Rush: Running game,236309,,
Halfbrick Studios,4.74674,4.74674,4+,290686976,TRUE,11,0,6014,2010-12-20T08:00:00Z,Fruit Ninja®,244665,,
Dmytro Cheverda,4.78468,4.78468,4+,24921088,FALSE,15,0,6014,2019-03-13T16:54:01Z,Charades - Best Party Game!,58388,,
SUPERSONIC STUDIOS LTD,4.60581,4.60581,12+,341729280,FALSE,12,0,6014,2022-10-26T07:00:00Z,Slow Mo' Run,62723,,
GARENA INTERNATIONAL I PRIVATE LIMITED,3.93659,3.93659,12+,1479545856,FALSE,10,0,6014,2017-12-08T03:42:29Z,Free Fire: The Chaos,259913,,
Radiant Cat Studio,4.61071,4.61071,12+,490925056,FALSE,12.5,0,6014,2022-06-29T07:00:00Z,Flashback: Tricky Fun Riddles,48593,,
Voodoo,4.66819,4.66819,12+,333213696,FALSE,13,0,6014,2022-04-15T07:00:00Z,Block Jam 3D,34578,,
Papaya Gaming,4.59222,4.59222,17+,335964160,FALSE,14,0,6014,2019-09-30T07:00:00Z,Bubble Cash,110046,,
Rec Room Inc,4.75338,4.75338,9+,2803025920,FALSE,14,0,6014,2019-08-31T07:00:00Z,Rec Room: Play with Friends,646963,,
Azur Interactive Games Limited,4.61042,4.61042,12+,248593408,FALSE,12,0,6014,2019-07-04T10:55:54Z,Bottle Jump 3D,255649,,
Playrix,4.66427,4.66427,4+,280521728,TRUE,11,0,6014,2016-08-25T04:13:46Z,Gardenscapes,1331668,,
Survival Games Ltd,4.65843,4.65843,9+,397021184,TRUE,12,0,6014,2017-12-21T16:04:07Z,Raft® Survival - Ocean Nomad,249731,,
HOMA GAMES,4.65662,4.65662,9+,453611520,FALSE,13,0,6014,2022-12-23T08:00:00Z,Attack Hole - Black Hole Games,127548,,
Level Infinite,4.65641,4.65641,17+,3664261120,TRUE,11,0,6014,2023-07-13T07:00:00Z,Arena Breakout: Realistic FPS,40231,,
HABBY,4.66909,4.66909,9+,710135808,TRUE,12,0,6014,2023-08-21T07:00:00Z,SOULS,7969,,
Miniclip.com,4.7394,4.7394,4+,160282624,FALSE,11,0,6014,2013-02-27T19:38:23Z,8 Ball Pool™,3888934,,
Behind The App,4.62398,4.62398,17+,44351488,FALSE,12.4,0,6014,2021-03-24T07:00:00Z,Exposed - Who's Most Likely To,120185,,
Playvalve S.L.,4.85949,4.85949,4+,200507392,FALSE,12.5,0,6014,2023-11-04T07:00:00Z,Spider Solitaire #1 Card Game,6363,,
ABIGAMES PTE. LTD,4.72213,4.72213,9+,342203392,TRUE,11,0,6014,2016-11-15T01:06:30Z,Galaxy Attack: Alien Shooter,550361,,
hidea,4.88293,4.88293,12+,965108736,TRUE,11,0,6014,2021-10-12T07:00:00Z,Cats & Soup,319344,,
SUPERSONIC STUDIOS LTD,4.53199,4.53199,12+,198251520,FALSE,12,0,6014,2023-06-21T07:00:00Z,Family Life!,7925,,
King,4.71666,4.71666,4+,400368640,FALSE,12,0,6014,2014-11-11T09:57:44Z,Candy Crush Soda Saga,691416,,
Kim Chinh Nguyen Thi,4.60432,4.60432,17+,243150848,FALSE,13,0,6014,2022-12-01T08:00:00Z,Color Water Sort Wooden Puzzle,3475,,
Voodoo,4.59581,4.59581,12+,195326976,TRUE,13,0,6014,2017-05-16T14:26:51Z,Flappy Dunk,476023,,
Play Perfect,4.81468,4.81468,17+,191522816,FALSE,13,0,6014,2023-03-25T07:00:00Z,Solitaire Smash: Real Cash!,34504,,
Ketchapp,4.34719,4.34719,12+,177169408,TRUE,12.5,0,6014,2016-02-17T13:21:16Z,Stack,41795,,
"Playdots, Inc.",4.42673,4.42673,4+,638638080,TRUE,12,0,6014,2014-05-29T05:20:35Z,Two Dots: Brain Puzzle Games,93483,,
X-Flow,4.80051,4.80051,17+,249973760,FALSE,12,0,6014,2018-07-29T22:10:47Z,Happy Color® Art Coloring Book,2802194,,
Playtika LTD,4.41458,4.41458,17+,416979968,FALSE,12,0,6014,2013-11-20T15:34:42Z,WSOP Poker: Texas Holdem Game,274367,,
Topsmart Mobile Ltd.,3.78354,3.78354,4+,283710464,FALSE,14,0,6014,2023-11-02T07:00:00Z,Color Bubble - Ball Sort Puz,328,,
Electronic Arts,4.55661,4.55661,12+,2219650048,TRUE,12,0,6014,2011-12-15T05:19:36Z,The Sims™ FreePlay,336038,,
Dennis Vukanovic,4.36364,4.36364,12+,333560832,FALSE,11,0,6014,2017-12-12T03:11:14Z,Granny,87340,,
wooga,4.64655,4.64655,12+,433762304,FALSE,12,0,6014,2021-12-23T08:00:00Z,June’s Journey: Hidden Objects,288349,,
